"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4","wincount.5","wincount.6","wincount.7","wincount.8","wincount.9","wincount.10"
"261",2,FALSE,"dtree",10,700,0,0,0,0,0,99,0,1,0,0
"262",2,TRUE,"dtree",10,700,0,0,0,0,0,100,0,0,0,0
"263",2,FALSE,"dtree",100,700,0,0,2,2,0,92,0,3,1,0
"264",2,TRUE,"dtree",100,700,0,0,0,0,0,100,0,0,0,0
"265",2,FALSE,"dirichlet",0.100000001490116,700,7,6,12,14,8,9,11,10,12,11
"266",2,TRUE,"dirichlet",0.100000001490116,700,0,0,0,0,0,100,0,0,0,0
"267",2,FALSE,"dirichlet",1,700,7,12,10,12,9,16,10,10,8,6
"268",2,TRUE,"dirichlet",1,700,0,0,0,0,0,100,0,0,0,0
"269",2,FALSE,"dirichlet",10,700,6,15,12,7,11,13,11,9,8,8
"270",2,TRUE,"dirichlet",10,700,0,0,0,0,0,100,0,0,0,0
"271",2,FALSE,"dirichlet",100,700,6,14,13,11,9,7,13,8,11,8
"272",2,TRUE,"dirichlet",100,700,0,0,0,0,0,100,0,0,0,0
"273",2,FALSE,"dtree",0.100000001490116,800,0,0,0,0,0,100,0,0,0,0
"274",2,TRUE,"dtree",0.100000001490116,800,0,0,0,0,0,100,0,0,0,0
"275",2,FALSE,"dtree",1,800,0,0,0,0,0,99,0,1,0,0
"276",2,TRUE,"dtree",1,800,0,0,0,0,0,100,0,0,0,0
"277",2,FALSE,"dtree",10,800,0,0,0,0,0,100,0,0,0,0
"278",2,TRUE,"dtree",10,800,0,0,0,0,0,100,0,0,0,0
"279",2,FALSE,"dtree",100,800,0,0,2,1,0,91,0,5,1,0
"280",2,TRUE,"dtree",100,800,0,0,0,0,0,100,0,0,0,0
"281",2,FALSE,"dirichlet",0.100000001490116,800,8,9,11,13,10,6,15,9,8,11
"282",2,TRUE,"dirichlet",0.100000001490116,800,0,0,0,0,0,100,0,0,0,0
"283",2,FALSE,"dirichlet",1,800,5,9,9,13,14,6,13,9,10,12
"284",2,TRUE,"dirichlet",1,800,0,0,0,0,0,100,0,0,0,0
"285",2,FALSE,"dirichlet",10,800,6,6,14,8,14,8,8,14,15,7
"286",2,TRUE,"dirichlet",10,800,0,0,0,0,0,100,0,0,0,0
